Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11
uveal disease,Spotted dark gray opacities on the cornea,Often foggy vision,visual impairment,photophobia,photophobia and tearing,eye pain,,,,,
autoimmune hepatitis,fever with joint swelling,Station doctor,,,,,,,,,
Mediastinal tumor,facial edema,"Chest pain with chest tightness, palpitations",mediastinal lymphadenopathy,chest tightness,hard to swallow,palpitation shortness of breath,Chest tightness,shortness of breath,,,
Pediatric hemangioma,bleeding tendency,Vascular murmur,tinnitus,Spider naevi,Varicose veins,PWS,,,,,
nutritional anemia,pale lips,inattention,Pica,Pale,loss of appetite,anxious,weak,Dizziness,,,
dementia,organic stupor,forgetful,memory impairment,glazed eyes,recent amnesia,depression,cognitive dysfunction,,,,
neonatal omphalitis,navel wet,"Obvious redness, swelling and hardening around the navel",umbilical swelling,Station doctor,neonatal umbilical hemorrhage,navel itching,Umbilical sores,navel pain,umbilical cord infection,Navel chakra redness and swelling,Granulation tissue hyperplasia in the umbilical fossa
bad breath,Sour mouth,stomatitis,hot phlegm bad breath,bad breath,Bitter mouth,dry mouth,tasteless,Deficiency heat and bad breath,Stomach fire and bad breath,,
venereal disease,herpes,enlarged scrotum,increased vaginal discharge,Painful urination,frequent urination,swollen lymph nodes in the groin,vulvar ulcer,lower abdominal pain,itching,urgency,
Gynecological diseases,female infertility,Burning irritation in the vulva,primary dysmenorrhea,Genital itching,Irregular menstruation,,,,,,
Gynecological inflammation,premenstrual edema,increased vaginal discharge,"Local redness, swelling, and heat pain at the vaginal opening","Low back pain with frequent urination, urination...",itching,,,,,,
kidney disease,kidney pain,facial edema,Exuberant kidney fire,black palm,kidney failure,urine protein,stomach ache,weak,polyuria,,
acute and chronic hepatitis,high total bilirubin,ascites,loss of appetite,Spider naevi,weak,low fever,hepatomegaly,Hepatic fluid,,,
Cervical disease,Station doctor,purulent leucorrhea,persistent vaginal bleeding,lumbosacral or lower back pain,pelvic heaviness,Lower abdominal pain,Dysmenorrhea,,,,
the tumor,papules,vaginal bleeding,ascites,stomach ache,dehydration,amenorrhea,,,,,
Thyroid disease,Exophthalmos,Hyperhidrosis,hard to swallow,goiter after childbirth,Thyroid nodules,,,,,,
menstrual disease,stomach ache,heavy menstrual blood clots,Withdrawal bleeding,arrhythmia,Periodic nasal congestion and epistaxis in women,,,,,,
autism,withdrawn behavior,language delay,memory impairment,self-harming behavior,,,,,,,
dysentery,abdominal pain with blood in stool,Abnormal stool,diarrhea,porridge,stomach ache,stool black with blood,convulsions,,,,
atrial fibrillation,Rapid heartbeat,myocardial infarction,Chest tightness,weak,arrhythmia,tachycardia,flustered,heart palpitations,Angina,cerebral hypoxia,
atrial flutter,heart failure,Difficulty breathing,Tricuspid valve prolapse,Chest tightness,Dizziness,holiday heart syndrome,heart palpitations,Angina,,,
Rotator Cuff Injury,pain arc sign,dull pain,nodules,muscle atrophy,,,,,,,
laryngitis,throat ulcer,sore throat,sore throat,dry throat congestion,Inflammation of the vocal cords,pain swallowing,Inflammation of the tonsils,persistent fever,dry itchy throat,,
acetabular fracture,shortening of lower limbs,Subcutaneous ecchymosis visible on lateral hip,Below the thigh or below the knee...,hip pain in children,,,,,,,
Gastrointestinal disease,dark green stool,flatulence,poor gastrointestinal function,dark stool,Gastrointestinal dysfunction,poor gastrointestinal motility,gastrointestinal symptoms,,,,
Shortsighted,dry eyes,fatigue,zoom out,paving stone degeneration,Leopard-like fundus,black shadow,pathological myopia,photophobia,Pseudomyopia,fundus changes,
Malformation of external genitalia,Vaginal adhesions or even atresia,abnormal penis,no testicles,vaginal atresia,short penis,testicular hypoplasia,Hermaphroditism,,,,
chronic urticaria,Papilledema,,,,,,,,,,
carotid stenosis,coma,Insomnia,Station doctor,Vascular murmur,drowsiness,atherosclerosis,Hemianopia,cerebral ischemia,tinnitus,dizziness,sensory disturbance
facial paralysis,can't keep eyes open,entropion,drooping corners of the mouth,abnormal taste,,,,,,,
dizziness,Cataplexy,nervous,Pale,ataxia,spinning vertigo,"No leaning to one side, no...",nausea,tachycardia,low blood pressure,sensory disturbance,
Vascular dementia,suspicious,dazzled,stupor,clothing,reticular dementia,personality change,depression,dizziness,cognitive dysfunction,,
Otolithiasis,dizziness,Dizziness,Nystagmus,,,,,,,,
stress urinary incontinence,sneeze,enuresis in children,,,,,,,,,
incisional hernia,nausea,There is a protruding mass at the abdominal wall incision,Tu Youbao,loss of appetite,,,,,,,
Uterine septum,female infertility,anemia after blood loss,menstrual cycle changes,spontaneous abortion,,,,,,,
Thyroid tumor,progressive neck mass,hoarse voice,distended jugular vein,Difficulty breathing,hard to swallow,swollen lymph nodes in the neck,,,,,
lung nodules,Chest tightness,weak,,,,,,,,,
Neuromyelitis optica,sphincter dysfunction,ball rolling motion of the hand,Impaired visuospatial function,Difficulty reading small print and distinguishing colors,transverse spinal cord injury,retrobulbar optic neuritis,intermittent spinal cord,sensory disturbance,,,
age spots,Station doctor,Pigmented spots,light brown spots,dark spots on face,Spots on the face,,,,,,
allergic skin disease,peeling,,,,,,,,,,
encephalitis,Headache,Vomit,body pain,disturbance of consciousness,meningeal irritation,weak,nausea,,,,
chronic liver disease,impaired liver function,liver palm,liver disease face,Enlarged liver,hepatic steatosis,,,,,,
high myopia,Often foggy vision,visual impairment,black shadow,Exophthalmos,,,,,,,
overactive bladder,increased bladder residual urine volume,decreased bladder capacity,bladder dysfunction,incomplete bladder emptying,polyuria,urgency,,,,,
Achilles tendonitis,heel pain,,,,,,,,,,
Laryngeal polyps,"The speaking frequency is small, not...",hoarse voice,Pharyngeal foreign body sensation,Difficulty breathing,Abnormal sound,asthma,,,,,
bloating,postoperative abdominal distension,Abdominal pain with nausea and vomiting,Excessive exhaust,constipate,,,,,,,
recurrent miscarriage,Lower abdominal pain,irregular vaginal bleeding,,,,,,,,,
pigmented skin disease,Pigmented spots,abnormal pigmentation,facial spots,,,,,,,,
Abortion,pelvic sagging,Uterine displacement,pelvic pain,vaginal bleeding,Uterine prolapse,,,,,,
enuresis,frequent urination,urgency,,,,,,,,,
hyperopia,weak,Migraine,Nearsightedness cannot last,look far away,visual impairment,tears,Lens dislocation or subluxation,blurred vision,strabismus,"Dry eyes, soreness, easy fatigue",
early breast cancer,breast tissue hypertrophy,nipple discharge,swollen lymph nodes,breast lump,,,,,,,
pulmonary mycosis,chest pain,Hemoptysis,cough,Hematemesis,abscess,,,,,,
hemorrhoid,repeated bleeding,Swelling,Inflammatory external hemorrhoids,anal fissure triad,severe pain,blood in stool,Varicose veins,prolapsed hemorrhoids,constipate,itching,
Presbyopia,fatigue,Nearsightedness cannot last,near vision difficulty,tears,eye swelling,Unresponsive,,,,,
metastatic liver cancer,abnormal liver function,Cachexia,Hematogenous dissemination,liver metastases,loss of appetite,weak,Pain,metastases of unknown primary,refractory ascites,liver pain,
metastatic bone tumor,bone mass,bone pain,loss of appetite,weak,low fever,thin,,,,,
endometrial polyps,irregular vaginal bleeding,polyp,heavy menstruation,,,,,,,,
spontaneous pneumothorax,chest pain after a full meal,chest pain,smoking chest pain,Difficulty breathing,retrosternal pain,Chest tightness,heart palpitations,,,,
spontaneous abortion,vaginal bleeding,Zhi Shufen,threatened miscarriage,Sanmai,small uterus,echo shadow,complete miscarriage,stomach ache,Menopause,lower abdominal pain,
Choledocholithiasis,Station doctor,Intrahepatic bile duct stones,stomach ache,Calcium Bilirubin Stones,Choledocholithiasis,abdominal muscle stiffness,Biliary colic,Enlarged liver,,,
intracranial tumor,hydrocephalus,functional headache,increased intracranial pressure,slowed and irregular breathing,disturbance of consciousness,forehead lump,increased intracranial pressure,recurrent headache,Skull hyperplasia,,
Frozen shoulder,impingement sign,Maternal neck and back pain,shoulder pain,Condensed shoulders,Pain and discomfort around the shoulder,sore shoulder blades,chills,limited shoulder mobility,Neck and shoulder fatigue and soft tissue pain,,
Helicobacter pylori infection,peptic ulcer,bloating,stomach ache,nausea,belching,,,,,,
